Start time/date   [hh-mm-ss dd/mm/yyyy]: 01-00-00 01/01/2020
Timestep              : 3 hours
Number of Stations    : 2
Number of time steps  : 480
; Each row below contains the wave height (m), orientation (deg) and period (s) for each time step for all stations
; Starting from the first station (i.e. station with id=1 on the corresponding point shape file)
; Values separated by a COMMA
; Starting on 01-00-00 01/01/2020 at 1 hours time step interval
; Coordinates of wave point lat-lon: 491522_4065494;497000_4065486
0.176,307.535,4.627,0.168,312.745,4.624
0.154,307.812,3.122,0.147,311.898,3.101
0.132,302.211,2.405,0.126,304.941,2.369
0.121,294.680,2.463,0.111,295.607,2.433
0.200,290.989,3.011,0.186,293.882,2.970
0.167,359.479,2.669,0.166,358.019,2.700
0.241,27.832,2.539,0.241,24.828,2.587
0.384,307.117,2.725,0.363,310.325,2.699
0.458,278.926,2.967,0.416,281.738,2.912
0.265,290.000,3.120,0.242,293.182,3.081
0.100,315.530,2.954,0.100,317.434,2.966
0.100,299.958,3.200,0.100,302.669,3.196
0.116,287.379,3.043,0.100,288.729,3.032
0.226,293.321,2.922,0.210,293.876,2.902
0.288,292.885,4.182,0.265,294.160,4.171
0.242,300.950,4.445,0.225,304.024,4.436
0.264,315.326,4.802,0.253,319.408,4.802
0.306,303.767,5.559,0.286,305.962,5.549
0.171,317.343,4.613,0.155,319.963,4.625
0.151,329.256,4.228,0.132,329.905,4.223
0.133,329.044,4.004,0.115,329.228,4.000
0.100,327.950,3.486,0.100,327.307,3.491
0.100,323.769,3.403,0.100,324.208,3.408
0.100,317.142,4.743,0.100,322.118,4.755
0.119,317.037,4.918,0.115,320.573,4.920
0.182,323.765,4.238,0.180,327.170,4.243
0.245,313.417,3.946,0.239,316.843,3.943
0.256,344.540,3.077,0.257,344.331,3.088
0.379,318.571,3.186,0.374,318.603,3.176
0.309,320.708,3.608,0.305,323.243,3.604
0.358,302.294,3.156,0.346,303.840,3.123
0.504,292.945,3.151,0.480,294.747,3.086
0.597,316.499,3.287,0.583,319.717,3.254
0.827,310.247,3.939,0.797,313.622,3.900
1.084,296.263,4.253,1.021,300.281,4.180
1.153,288.363,4.448,1.083,294.522,4.400
1.003,300.083,4.479,0.966,309.076,4.457
0.828,359.114,5.090,0.825,356.942,5.138
0.901,328.662,5.913,0.876,329.850,5.914
0.948,321.142,5.894,0.915,323.134,5.892
1.008,314.453,5.752,0.961,316.701,5.739
0.643,9.428,4.208,0.641,11.020,4.266
0.576,29.158,4.038,0.576,30.105,4.086
0.677,69.191,3.882,0.688,67.229,3.986
0.737,69.784,3.861,0.751,67.782,3.979
0.650,67.773,3.912,0.659,66.015,4.000
0.745,80.749,3.271,0.764,76.901,3.462
0.733,92.595,3.132,0.754,89.800,3.347
0.523,91.321,2.823,0.536,85.979,2.949
0.518,80.713,2.678,0.529,77.687,2.823
0.441,33.948,2.331,0.452,32.771,2.404
0.568,64.323,2.683,0.584,62.631,2.797
0.746,68.810,3.318,0.770,66.940,3.481
0.718,65.335,3.805,0.732,64.135,3.885
0.877,69.936,4.371,0.900,68.993,4.504
0.641,62.867,4.941,0.653,63.633,4.944
0.675,56.105,5.007,0.683,56.935,5.004
1.066,53.630,5.155,1.075,53.885,5.159
1.257,45.270,5.138,1.258,45.555,5.148
1.363,39.084,5.474,1.369,39.176,5.486
1.437,43.287,5.658,1.446,43.547,5.673
1.498,43.282,5.759,1.500,43.102,5.768
1.261,47.593,5.698,1.267,47.551,5.698
1.101,44.555,6.254,1.107,44.542,6.253
1.054,48.530,5.926,1.062,48.175,5.933
1.223,46.674,6.129,1.233,46.481,6.139
1.385,38.327,5.897,1.395,38.309,5.915
1.504,29.188,5.920,1.506,30.460,5.931
1.654,43.599,5.787,1.666,44.496,5.791
1.583,46.301,5.876,1.598,47.118,5.883
1.490,49.346,6.000,1.504,50.109,6.005
1.499,45.018,6.171,1.510,45.688,6.175
1.668,8.085,6.050,1.665,9.254,6.054
1.872,17.247,6.299,1.856,19.787,6.301
1.875,27.873,6.416,1.857,29.929,6.421
1.812,36.940,5.788,1.806,38.784,5.809
1.976,31.348,5.626,1.983,32.549,5.640
1.888,341.452,6.097,1.851,344.502,6.080
1.920,13.008,5.992,1.915,14.732,5.993
1.552,339.794,5.585,1.536,342.225,5.572
1.110,325.782,5.481,1.086,328.617,5.469
0.823,317.310,5.667,0.791,320.513,5.651
0.519,314.188,5.747,0.495,317.864,5.728
0.315,327.848,5.022,0.311,329.677,5.023
0.157,330.329,4.067,0.156,331.136,4.072
0.122,334.408,3.443,0.122,337.172,3.441
0.149,325.927,2.685,0.148,327.185,2.675
0.114,338.073,2.525,0.116,337.364,2.525
0.223,7.905,2.922,0.225,2.194,2.929
0.236,340.338,3.239,0.236,339.359,3.243
0.166,344.156,3.969,0.166,344.759,3.971
0.138,309.982,3.761,0.134,313.338,3.756
0.156,345.129,3.223,0.155,346.494,3.249
0.165,9.956,2.698,0.165,7.535,2.711
0.149,6.715,2.725,0.150,5.039,2.735
0.158,17.695,3.564,0.159,16.487,3.574
0.184,15.329,3.429,0.181,16.888,3.417
0.291,90.730,2.758,0.288,87.908,2.676
0.483,114.860,2.425,0.488,109.751,2.407
0.604,117.798,2.598,0.617,115.297,2.678
0.707,110.947,2.842,0.724,108.976,3.008
0.478,120.714,2.401,0.479,115.241,2.435
0.403,98.654,2.625,0.406,92.534,2.674
0.436,84.266,2.808,0.437,79.474,2.870
0.562,74.886,3.298,0.567,71.173,3.385
0.675,60.226,3.259,0.686,57.854,3.411
0.692,46.542,3.541,0.702,46.145,3.653
0.665,39.134,3.733,0.663,37.141,3.844
0.594,39.845,3.654,0.589,35.304,3.738
0.515,8.631,4.234,0.512,9.587,4.278
0.522,346.231,4.873,0.519,348.808,4.893
0.646,31.245,4.456,0.654,32.022,4.514
0.718,58.072,5.095,0.731,57.561,5.153
0.626,75.652,4.652,0.641,74.799,4.720
0.654,77.769,5.215,0.668,76.967,5.282
0.686,74.900,5.743,0.697,73.298,5.813
0.547,70.126,4.805,0.560,69.366,4.857
0.613,54.068,4.259,0.626,54.130,4.318
0.605,67.514,3.529,0.620,66.651,3.624
0.570,73.043,5.050,0.581,71.690,5.105
0.556,69.595,5.260,0.567,68.505,5.307
0.577,71.362,4.912,0.589,70.400,4.967
0.638,73.803,3.796,0.653,72.512,3.886
0.667,71.931,3.797,0.679,70.103,3.861
0.702,65.017,3.295,0.716,63.068,3.410
0.741,50.522,3.073,0.756,49.487,3.217
0.829,320.945,3.590,0.806,324.551,3.565
0.654,80.216,2.566,0.662,75.652,2.709
0.415,83.059,2.837,0.410,76.060,2.893
0.426,58.794,3.597,0.418,53.148,3.636
0.512,64.262,4.893,0.516,61.743,4.945
0.543,72.265,3.841,0.554,70.654,3.915
0.650,66.078,3.414,0.665,64.864,3.527
0.691,5.312,3.261,0.699,4.345,3.318
0.866,277.579,4.031,0.809,284.063,3.982
0.999,315.198,3.820,0.967,315.675,3.793
0.993,36.348,3.803,1.020,35.583,3.952
0.940,30.712,4.184,0.946,31.485,4.229
0.894,32.801,5.043,0.893,33.528,5.046
0.802,359.712,5.247,0.792,2.624,5.248
0.670,4.979,5.094,0.662,7.409,5.112
0.606,42.993,4.832,0.608,43.159,4.879
0.633,39.448,5.378,0.635,39.698,5.421
0.496,40.008,5.796,0.501,40.538,5.812
0.358,48.828,5.398,0.363,50.013,5.403
0.262,40.470,5.293,0.266,41.660,5.297
0.188,53.877,3.939,0.191,54.555,3.945
0.208,61.482,3.752,0.212,62.237,3.761
0.276,58.928,4.405,0.283,60.014,4.418
0.415,65.669,4.451,0.423,66.184,4.472
0.550,65.062,5.030,0.560,65.165,5.059
0.591,59.100,5.031,0.599,59.489,5.052
0.517,56.137,5.632,0.523,56.151,5.661
0.471,54.052,4.704,0.475,54.902,4.721
0.547,58.969,3.801,0.549,58.794,3.826
0.755,62.862,3.862,0.768,61.591,3.942
0.908,62.478,4.091,0.928,61.212,4.237
1.067,55.367,4.941,1.091,55.015,5.035
1.076,44.263,5.125,1.097,43.652,5.191
1.344,31.970,5.204,1.368,31.527,5.236
1.287,46.616,6.299,1.306,46.780,6.296
1.275,41.498,6.555,1.288,41.802,6.554
1.633,22.408,7.094,1.628,24.629,6.969
1.537,17.959,6.579,1.517,22.902,6.259
1.399,21.487,5.135,1.400,23.904,5.007
1.230,347.760,5.659,1.209,352.565,5.677
1.106,320.110,6.218,1.065,323.092,6.206
1.028,320.319,5.831,0.995,323.677,5.829
1.121,325.191,6.446,1.067,330.061,6.412
1.021,306.299,6.673,0.947,310.946,6.649
0.905,300.503,6.925,0.812,306.254,6.914
0.851,311.567,6.653,0.775,317.729,6.617
0.995,328.764,6.005,0.941,334.494,5.987
1.079,355.340,5.703,1.036,0.669,5.745
1.149,5.571,5.989,1.107,11.167,5.981
1.074,356.261,5.982,1.038,1.340,5.954
0.785,18.239,5.004,0.756,19.654,5.065
0.669,43.836,4.136,0.647,41.816,4.184
0.673,59.500,3.440,0.658,55.711,3.439
0.649,54.033,3.574,0.633,49.592,3.624
0.719,11.575,5.417,0.689,12.224,5.365
0.732,327.754,5.634,0.691,331.786,5.621
0.907,312.934,5.653,0.859,317.890,5.658
0.911,312.507,5.992,0.861,316.016,5.971
0.778,324.649,6.290,0.740,328.050,6.261
0.603,304.820,6.087,0.564,307.796,6.059
0.440,301.881,6.448,0.406,304.343,6.430
0.215,304.729,5.461,0.199,305.474,5.462
0.104,294.320,4.453,0.100,292.582,4.457
0.100,290.195,3.772,0.100,287.224,3.782
0.100,294.552,3.571,0.100,291.013,3.583
0.176,297.114,3.644,0.163,298.814,3.641
0.144,296.148,3.902,0.130,298.507,3.897
0.131,295.809,4.583,0.115,298.835,4.578
0.130,301.639,4.669,0.116,306.000,4.674
0.222,295.362,3.952,0.204,298.095,3.938
0.307,295.800,4.285,0.285,298.485,4.268
0.287,295.942,4.368,0.263,299.271,4.348
0.406,294.886,4.319,0.371,298.650,4.292
0.582,294.041,4.047,0.540,298.001,3.999
0.446,286.028,4.230,0.409,290.037,4.188
0.230,287.137,4.166,0.207,288.166,4.151
0.191,299.007,4.401,0.176,299.209,4.401
0.232,299.829,4.248,0.219,302.535,4.237
0.312,302.817,4.105,0.297,306.777,4.084
0.297,318.705,3.111,0.291,321.207,3.098
0.372,32.075,2.485,0.374,29.698,2.569
0.589,75.982,2.419,0.599,73.582,2.576
0.749,46.902,2.756,0.759,47.000,2.916
0.832,290.466,3.762,0.764,293.781,3.721
0.928,287.247,4.114,0.845,290.499,4.085
1.259,269.062,4.089,1.141,273.711,4.024
1.562,304.477,4.570,1.469,310.198,4.475
1.202,46.851,4.294,1.204,47.649,4.068
1.135,56.476,4.786,1.129,57.480,4.574
0.958,71.045,4.312,0.951,70.562,4.304
0.964,81.847,4.096,0.965,80.659,4.213
0.920,71.283,3.896,0.920,68.713,4.189
0.774,47.179,3.914,0.767,44.097,4.104
0.990,39.238,4.093,1.001,39.208,4.260
1.079,25.286,4.003,1.103,26.526,4.085
0.896,49.281,3.275,0.916,45.899,3.498
0.596,65.633,3.327,0.596,57.815,3.517
0.473,9.494,4.017,0.458,7.357,4.037
0.446,331.991,4.621,0.425,332.958,4.605
0.625,337.154,4.403,0.604,336.579,4.370
0.924,351.838,4.836,0.905,354.830,4.861
0.984,7.186,4.681,0.974,9.324,4.755
0.954,351.939,5.578,0.921,355.888,5.582
0.801,356.606,5.136,0.773,358.408,5.152
0.748,315.965,5.448,0.715,320.317,5.454
0.642,304.983,6.133,0.599,308.170,6.104
0.657,312.612,6.499,0.618,316.331,6.468
0.712,314.215,7.152,0.667,317.279,7.109
0.688,310.284,7.751,0.635,313.891,7.720
0.850,333.418,7.655,0.814,335.645,7.640
0.956,41.117,6.254,0.955,36.551,6.290
1.123,348.337,5.900,1.112,349.362,5.914
0.937,310.678,5.950,0.890,314.661,5.940
0.969,312.144,6.092,0.927,315.205,6.070
1.195,336.249,5.945,1.178,338.843,5.939
1.296,45.474,5.556,1.313,43.701,5.574
1.122,43.663,6.171,1.134,41.917,6.181
1.194,14.555,7.067,1.185,14.942,7.066
1.076,28.721,6.940,1.076,27.892,6.941
1.020,21.968,6.208,1.017,22.923,6.225
0.711,35.984,4.370,0.707,36.438,4.474
0.587,39.046,3.217,0.593,38.288,3.297
0.438,11.686,2.729,0.437,10.219,2.757
0.269,303.403,2.152,0.263,302.828,2.136
0.181,300.047,2.133,0.177,298.894,2.121
0.158,307.273,2.504,0.153,306.299,2.497
0.217,308.209,3.239,0.206,310.097,3.231
0.301,340.039,3.868,0.292,341.423,3.892
0.498,321.951,3.695,0.486,325.030,3.685
0.690,332.532,4.109,0.681,335.893,4.124
0.857,327.782,4.147,0.843,331.178,4.147
0.688,43.671,3.071,0.704,42.638,3.224
0.969,294.148,4.270,0.905,294.845,4.220
0.698,294.581,4.104,0.664,296.532,4.086
0.695,291.893,3.986,0.662,293.281,3.973
0.874,282.817,3.731,0.817,283.708,3.670
0.935,296.689,3.850,0.881,300.534,3.770
1.403,319.829,4.450,1.354,326.176,4.406
1.665,281.780,4.585,1.534,287.556,4.467
1.698,270.080,4.740,1.534,275.114,4.586
1.784,292.551,4.751,1.634,291.171,4.660
1.808,290.165,5.074,1.645,293.023,4.873
1.198,293.145,4.315,1.101,295.877,4.128
0.604,41.467,2.956,0.625,39.595,3.078
0.675,55.860,3.187,0.700,54.660,3.336
1.124,9.657,3.879,1.136,11.440,3.939
1.122,43.913,3.499,1.169,43.368,3.667
1.301,55.074,3.612,1.373,54.179,3.811
1.356,59.031,3.797,1.435,57.679,4.011
0.884,85.153,3.362,0.919,85.793,3.521
0.415,87.696,2.513,0.419,83.566,2.595
0.270,57.975,2.700,0.271,56.158,2.730
0.337,336.239,3.494,0.334,336.549,3.495
0.525,303.358,3.521,0.505,304.508,3.484
0.643,314.403,3.492,0.622,312.211,3.474
0.674,302.412,3.432,0.645,298.201,3.399
0.620,26.218,3.000,0.634,25.443,3.074
0.499,35.731,3.132,0.511,36.092,3.184
0.404,40.078,3.740,0.412,41.175,3.766
0.411,30.351,4.807,0.418,29.931,4.815
0.405,34.569,4.814,0.412,33.465,4.821
0.493,51.598,4.884,0.499,52.333,4.891
0.541,54.153,4.299,0.547,54.605,4.324
0.508,50.866,4.547,0.513,51.388,4.567
0.459,49.110,6.221,0.465,49.880,6.236
0.566,49.989,6.829,0.574,50.637,6.843
0.717,52.627,6.477,0.728,53.156,6.488
0.846,52.117,6.731,0.857,52.631,6.737
1.262,54.385,6.698,1.275,54.588,6.698
1.559,57.384,6.657,1.573,57.831,6.659
1.637,53.752,6.849,1.639,53.671,6.849
1.590,53.664,7.267,1.584,53.566,7.250
1.545,49.718,9.116,1.517,49.888,9.079
1.714,40.545,9.949,1.662,40.795,9.907
1.626,51.300,6.961,1.625,51.107,6.952
1.551,52.709,6.266,1.555,52.663,6.269
1.375,53.094,6.104,1.385,53.570,6.106
1.058,47.000,6.213,1.067,46.564,6.219
0.736,30.583,6.070,0.738,27.124,6.094
0.557,18.896,5.218,0.562,17.474,5.231
0.483,29.471,4.858,0.483,30.422,4.879
0.395,10.793,3.806,0.391,10.262,3.827
0.365,34.498,3.155,0.363,31.396,3.205
0.331,45.460,2.900,0.331,41.781,2.952
0.264,38.510,2.489,0.267,32.840,2.522
0.251,36.150,2.014,0.257,24.231,2.043
0.462,81.956,2.780,0.476,75.773,2.892
0.549,84.411,2.825,0.561,79.244,2.947
0.452,60.707,2.724,0.456,55.606,2.814
0.532,54.871,3.021,0.538,52.923,3.097
0.635,42.605,3.902,0.645,42.962,3.964
0.620,57.210,4.563,0.628,56.704,4.618
0.566,60.141,4.274,0.572,59.438,4.323
0.494,57.504,4.057,0.498,57.057,4.095
0.400,59.833,3.469,0.404,59.188,3.507
0.319,67.327,2.775,0.323,65.245,2.825
0.179,56.573,2.965,0.181,55.252,2.974
0.117,47.364,2.532,0.118,45.151,2.538
0.134,55.846,2.556,0.134,53.558,2.563
0.238,66.921,2.326,0.240,63.457,2.363
0.328,66.689,2.222,0.333,60.745,2.314
0.392,82.688,2.442,0.401,75.554,2.567
